item_code,bar_code,vendor_article_id,vendor_article_name,division,section,department,brand_name,node,item_name,size,style_group_id
BD54462,8905816214257,1M-LWCS-R0205-AW4,TMRW-093-Men-Coord Set-Arctic Wolf-L,Clothing,Men,Topwear,Nobero,Co-Ords,Nobero-Men-Topwear-Co-Ords-Coord Set-Beige-SS25-L,L,BW_NOB_TMRWCOORD_BEIGE_02
BD54426,8905816214264,1M-LWCS-R0205-AW5,TMRW-093-Men-Coord Set-Arctic Wolf-XL,Clothing,Men,Topwear,Nobero,Co-Ords,Nobero-Men-Topwear-Co-Ords-Coord Set-Beige-SS25-XL,XL,BW_NOB_TMRWCOORD_BEIGE_01
BD54465,8905816214592,1M-LWCS-R0197-SG2,TMRW-0106-Men-Coord Set-Sage Green-S,Clothing,Men,Topwear,Nobero,Co-Ords,Nobero-Men-Topwear-Co-Ords-Coord Set-Green-SS25-S,S,BW_NOB_TMRWCOORD_GREEN_01
BD54528,8905816214608,1M-LWCS-R0197-SG3,TMRW-0106-Men-Coord Set-Sage Green-M,Clothing,Men,Topwear,Nobero,Co-Ords,Nobero-Men-Topwear-Co-Ords-Coord Set-Green-SS25-M,M,BW_NOB_TMRWCOORD_GREEN_01
BD54555,8905816214615,1M-LWCS-R0197-SG4,TMRW-0106-Men-Coord Set-Sage Green-L,Clothing,Men,Topwear,Nobero,Co-Ords,Nobero-Men-Topwear-Co-Ords-Coord Set-Green-SS25-L,L,BW_NOB_TMRWCOORD_GREEN_01
BD54505,8905816214622,1M-LWCS-R0197-SG5,TMRW-0106-Men-Coord Set-Sage Green-XL,Clothing,Men,Topwear,Nobero,Co-Ords,Nobero-Men-Topwear-Co-Ords-Coord Set-Green-SS25-XL,XL,BW_NOB_TMRWCOORD_GREEN_01
BD54567,8905816214837,1M-BWJG-R0192-OG2,TMRW-0117-Men-Joggers-Olive Green-S,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Olive-SS25-S,S,BW_NOB_TMRW_OLIVE_01
BD54586,8905816214844,1M-BWJG-R0192-OG3,TMRW-0117-Men-Joggers-Olive Green-M,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Olive-SS25-M,M,BW_NOB_TMRW_OLIVE_01
BD54590,8905816214851,1M-BWJG-R0192-OG4,TMRW-0117-Men-Joggers-Olive Green-L,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Olive-SS25-L,L,BW_NOB_TMRW_OLIVE_01
BD54418,8905816214868,1M-BWJG-R0192-OG5,TMRW-0117-Men-Joggers-Olive Green-XL,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Olive-SS25-XL,XL,BW_NOB_TMRW_OLIVE_01
BD54492,8905816214899,1M-BWJG-R0186-FD2,TMRW-0108-Men-Joggers-Future Dusk-S,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Purple-SS25-S,S,BW_NOB_TMRWFUTURE_PURPLE_01
BD54440,8905816214905,1M-BWJG-R0186-FD3,TMRW-0108-Men-Joggers-Future Dusk-M,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Purple-SS25-M,M,BW_NOB_TMRWFUTURE_PURPLE_01
BD54568,8905816214912,1M-BWJG-R0186-FD4,TMRW-0108-Men-Joggers-Future Dusk-L,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Purple-SS25-L,L,BW_NOB_TMRWFUTURE_PURPLE_01
BD54477,8905816214929,1M-BWJG-R0186-FD5,TMRW-0108-Men-Joggers-Future Dusk-XL,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Purple-SS25-XL,XL,BW_NOB_TMRWFUTURE_PURPLE_01
BD54488,8905816215018,1M-BWJG-R0190-ET2,TMRW-0115-Men-Joggers-Eiffel Tower-S,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Grey-SS25-S,S,BW_NOB_TMRWEIFFEL_GREY_01
BD54556,8905816215025,1M-BWJG-R0190-ET3,TMRW-0115-Men-Joggers-Eiffel Tower-M,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Grey-SS25-M,M,BW_NOB_TMRWEIFFEL_GREY_01
BD54420,8905816215032,1M-BWJG-R0190-ET4,TMRW-0115-Men-Joggers-Eiffel Tower-L,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Grey-SS25-L,L,BW_NOB_TMRWEIFFEL_GREY_01
BD54439,8905816215049,1M-BWJG-R0190-ET5,TMRW-0115-Men-Joggers-Eiffel Tower-XL,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Grey-SS25-XL,XL,BW_NOB_TMRWEIFFEL_GREY_01
BD54431,8905816215070,1M-BWJG-R0195-AW2,TMRW-087-Men-Joggers-Arctic Wolf-S,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Beige-SS25-S,S,BW_NOB_TMRWARCTIC_BEIGE_01
